caption,mean,precision,votes,not_funny,somewhat_funny,funny,llm_humor_labels,llm_sentiment
I meant into your subconscious.,1.673134328358209,0.0279203715496397,670,320,249,101,not_evaluated,not_evaluated
I need to rethink my use of metaphors.,1.6699475065616798,0.0185070265692194,1524,747,539,238,not_evaluated,not_evaluated
Let’s try tele-health next week.,1.664804469273743,0.0277263130018944,716,357,242,117,not_evaluated,not_evaluated
I’m going to count to three and when you wake up you’ll remember where you buried your husband.,1.6645569620253164,0.0204251530669515,1422,740,419,263,not_evaluated,not_evaluated
"Just so you know, I bill by the hour.",1.664011585807386,0.0217083241744329,1381,769,311,301,not_evaluated,not_evaluated
"Diary entry, quarantine day 64: Margaret seems more serious about wanting her own space today.",1.661698956780924,0.0202836393487745,1342,674,448,220,not_evaluated,not_evaluated
Avoid metaphors with this patient.,1.658365758754864,0.0211351978417829,1285,663,398,224,not_evaluated,not_evaluated
"Mary, he won't get reelected. Let's put the shovel down and return to the couch.",1.6583242655059849,0.0250813611641754,919,476,281,162,not_evaluated,not_evaluated
I'm sensing some buried resentment here,1.6582278481012658,0.0203382384926683,1264,620,456,188,not_evaluated,not_evaluated
That’s our time. We’ll try to dig deeper next week,1.6567524115755627,0.019933869499291,1244,594,483,167,not_evaluated,not_evaluated
We don’t bury our emotions here Debra...,1.6530958439355383,0.0216520839721443,1179,601,386,192,not_evaluated,not_evaluated
On SECOND thought—can you just ‘scratch the surface’?,1.651877133105802,0.0221603542589644,1172,612,356,204,not_evaluated,not_evaluated
It seems you're in somewhat of a depression,1.647495361781076,0.0215674621450943,1078,542,380,156,not_evaluated,not_evaluated
"Jane, I don't think digging up old dirt is helpful in therapy.",1.6455813953488372,0.0222965107456767,1075,545,366,164,not_evaluated,not_evaluated
When would you say you hit rock bottom?,1.6452830188679246,0.02230795815722,1060,534,368,158,not_evaluated,not_evaluated
I think we’ve dug deep enough for today.,1.644423260247855,0.0222524921676942,1049,530,364,155,not_evaluated,not_evaluated
Emotionally. I meant let’s dig deeper emotionally.,1.642300194931774,0.0230702031074948,1026,529,335,162,not_evaluated,not_evaluated
"Well, that certainly is a Plan B if Trump wins the election.",1.6415279138099903,0.0236562838534882,1021,540,307,174,not_evaluated,not_evaluated
"So tell me, would you say you've hit rock bottom?",1.6400404448938322,0.02315414129833,989,504,337,148,not_evaluated,not_evaluated
We're at the 25-minute mark so you'd better start filling it back in.,1.639676113360324,0.0232189267152126,988,505,334,149,not_evaluated,not_evaluated
I think you’ll find the skeleton is in the closest.,1.6341991341991342,0.0250310952597581,924,498,266,160,not_evaluated,not_evaluated
Come back and see me when you hit rock bottom.,1.6341911764705883,0.0316662128926712,544,284,175,85,not_evaluated,not_evaluated
"I'm beginning to think I'm doing all the work here, Doctor",1.6328555678059538,0.0252458794672683,907,492,257,158,not_evaluated,not_evaluated
Fails to grasp idioms.,1.6305084745762712,0.0254864544787407,885,478,256,151,not_evaluated,not_evaluated
The next time please remember my door is always open.,1.6286379511059372,0.0244483882058493,859,449,284,126,not_evaluated,not_evaluated
"Wait. He could lose, you know.",1.627659574468085,0.0250256982069143,846,440,281,125,not_evaluated,not_evaluated
This isn't what I meant when I said you needed to dig a little deeper.,1.6234718826405867,0.0253074909122223,818,426,274,118,not_evaluated,not_evaluated
"I can't believe I'm saying this, but let's go back to pills and booze to escape reality.",1.621346886912325,0.0275985458406247,787,441,203,143,not_evaluated,not_evaluated
"And this map that you saw, you’re sure there was an ‘X’ right in the middle of my office?",1.6212361331220286,0.0293514634036313,631,336,198,97,not_evaluated,not_evaluated
I won't stop you. But that's not where the voices come from.,1.6208226221079691,0.0267060831796176,778,419,235,124,not_evaluated,not_evaluated
"Let’s dig into that a little deeper, shall we?",1.6197916666666667,0.0242001547093842,768,374,312,82,not_evaluated,not_evaluated
Let me know when you hit the unconscious.,1.6176470588235294,0.0268442432605084,748,399,236,113,not_evaluated,not_evaluated
"Thankfully my next patient is all about fixing things.""",1.6154891304347827,0.0269253923328771,736,392,235,109,not_evaluated,not_evaluated
"Ah yes, the 13th stage of grief —  palaeontology.",1.6148555708390646,0.0283818341950167,727,409,190,128,not_evaluated,not_evaluated
"You know that's not what I meant when I asked you to ""dig deeper.""",1.6107091172214183,0.0271819674856086,691,363,234,94,not_evaluated,not_evaluated
It’s a miner compulsion.,1.6101449275362318,0.0286463934720943,690,382,195,113,not_evaluated,not_evaluated
Tell me when you get to the root of your problem.,1.6082474226804124,0.0281882714186658,679,368,209,102,not_evaluated,not_evaluated
We should go back to virtual therapy next week.,1.6066565809379727,0.028953963171241,661,364,193,104,not_evaluated,not_evaluated
"Given your reaction to ‘let’s dig in’, I’d like to revisit your ‘where the bodies are buried’ comment.",1.6066565809379727,0.02958052332854,661,372,177,112,not_evaluated,not_evaluated
"I totally get it. I don't like touching doorknobs now, either.",1.6057838660578387,0.0288569832598701,657,360,196,101,not_evaluated,not_evaluated
Not quite what I meant when I asked you to dig deeper,1.6057838660578387,0.0274561051076314,657,348,222,87,not_evaluated,not_evaluated
"I’m afraid your time is up, we’ll dig deeper at your next session.",1.605143721633888,0.0279965070806342,661,353,216,92,not_evaluated,not_evaluated
How are you adjusting to life out of prison?,1.6015873015873017,0.0299307505990755,630,353,175,102,not_evaluated,not_evaluated
"On second thought, I will write that prescription for Valium",1.600328947368421,0.0302576409673597,608,339,173,96,not_evaluated,not_evaluated
"No, I still have not reached the depths of my despair.",1.5990180032733223,0.0296093265388402,611,335,186,90,not_evaluated,not_evaluated
Let me know when you have a breakthrough.,1.5990180032733223,0.0285951935198274,611,324,208,79,not_evaluated,not_evaluated
"Usually when people hit rock bottom, Sharon, they stop digging",1.598360655737705,0.0290081334198784,610,328,199,83,not_evaluated,not_evaluated
"I don’t blame you, I blame the artist who only drew a tiny window and omitted the door.",1.5983471074380164,0.0302959309563016,605,338,172,95,not_evaluated,not_evaluated
Wait! I was holding the map upside down. It's in the attic!,1.5980066445182723,0.0307774565843658,602,341,162,99,not_evaluated,not_evaluated
"So, why do you think you chose a spade instead of a shovel?",1.5973377703826954,0.031000856107577,601,343,157,101,not_evaluated,not_evaluated
Let's do the next session over Zoom,1.595197255574614,0.0300535494676496,583,319,181,83,not_evaluated,not_evaluated
Patient was compliant when prompted to dig deeper.,1.59375,0.0303431213304975,576,317,176,83,not_evaluated,not_evaluated
"Much of what I say will be intended metaphorically. Unearth, for example.",1.5930434782608696,0.0306853579905788,575,320,169,86,not_evaluated,not_evaluated
"Martha, go to hell is a figure of speech.",1.592982456140351,0.0312915800433101,570,322,158,90,not_evaluated,not_evaluated
I'm afraid I wasn't clear when I suggested that you dig deeper.,1.5925925925925926,0.0305179347579861,567,312,174,81,not_evaluated,not_evaluated
"I wonder if today, Irene, we can start with your fear of doors?",1.5910714285714285,0.0312322199428257,560,314,161,85,not_evaluated,not_evaluated
Typically we use 'pit of despair' as a metaphor.,1.5906642728904847,0.0290678680839454,557,294,198,65,not_evaluated,not_evaluated
We’ve just scratched the surface.,1.5886654478976234,0.0299806813004152,547,298,178,71,not_evaluated,not_evaluated
"We've talked before, Elizabeth, about the futility of digging up the past.""",1.588235294117647,0.0317495259370795,544,307,154,83,not_evaluated,not_evaluated
I told you therapy was hard work.,1.5879120879120878,0.0306903366395367,546,299,173,74,not_evaluated,not_evaluated
"“This hole you’ve dug for yourself...
is it half-full or half-empty?”",1.5879120879120878,0.0305256466203466,546,305,164,77,not_evaluated,not_evaluated
"I appreciate your commitment, Carla. But let's stick with metaphors.",1.5879120879120878,0.030908558334629,546,301,169,76,not_evaluated,not_evaluated
If I remove those two little plants would you be willing to come in through the window next time?,1.5872727272727272,0.0311671141075234,550,307,163,80,not_evaluated,not_evaluated
I think you've reached your deductible.,1.587037037037037,0.0319389480680608,540,306,151,83,not_evaluated,not_evaluated
I can see that you really want to get to the bottom of this.,1.5856873822975517,0.0313644754543319,531,294,163,74,not_evaluated,not_evaluated
"When you get to China, warn them about the deadly Trump virus.",1.5842911877394636,0.0336959989395099,522,308,123,91,not_evaluated,not_evaluated
"Good afternoon, Mrs Guzman. I am Dr Esperanza, the prison psychiatrist.",1.5842911877394636,0.0330347776308033,522,302,135,85,not_evaluated,not_evaluated
In psychology we call this avoidance.,1.583710407239819,0.0333965844112955,442,239,148,55,not_evaluated,not_evaluated
I believe Freud’s mention of excavation was metaphoric.,1.58203125,0.0301325837064903,512,273,181,58,not_evaluated,not_evaluated
What I’m hearing is that you feel you’re digging yourself into a hole you can’t get out of?,1.581532416502947,0.0319448830502782,509,283,156,70,not_evaluated,not_evaluated
When I said you should dredge-up your past it was just a figure of speech.,1.5786290322580645,0.0313260133021797,496,269,167,60,not_evaluated,not_evaluated
"Okay, I think we’ve gone deep enough today.",1.5786290322580645,0.0317136727149674,496,272,161,63,not_evaluated,not_evaluated
Congratulations. We broke some new ground today.,1.578,0.0320294203434134,500,278,155,67,not_evaluated,not_evaluated
"Remember, when you are going through hell, keep going.",1.5763747454175152,0.0318386468763619,491,270,159,62,not_evaluated,not_evaluated
"OK, so next time, we won't start with  ""let's dig into your past""",1.5723404255319149,0.0318094706658807,470,255,161,54,not_evaluated,not_evaluated
We're gonna go back to doing Zoom calls,1.5720430107526882,0.0336173862382072,465,264,136,65,not_evaluated,not_evaluated
We have to work on not taking things so literally,1.5720338983050848,0.0329627039464199,472,265,144,63,not_evaluated,not_evaluated
I'm sorry. I'm sorry that I said that you didn't know your ass from a hole in the ground.,1.5704989154013016,0.0361391716908155,461,280,99,82,not_evaluated,not_evaluated
And how does that make your lower back feel?,1.5682326621923937,0.0336445457232408,447,251,138,58,not_evaluated,not_evaluated
"Ah.  You're here for a ""Miner Psychological Condition"".  I misread it the first time.",1.5679824561403508,0.034144685843195,456,262,129,65,not_evaluated,not_evaluated
I’m just glad we’re getting somewhere.,1.5679824561403508,0.0325549574530493,456,251,151,54,not_evaluated,not_evaluated
I'm Dr. Bronfman. Dr. Peters is another twenty yards to the west.,1.5666666666666669,0.0340676358284205,450,257,131,62,not_evaluated,not_evaluated
And how does that make your back feel?,1.5659955257270697,0.0339513291319678,447,254,133,60,not_evaluated,not_evaluated
We will need to come up with a different exit strategy.,1.565217391304348,0.0329922024362963,437,240,147,50,not_evaluated,not_evaluated
I don't think it is helpful to try to bury your feelings.,1.565217391304348,0.0332299685254031,437,249,132,56,not_evaluated,not_evaluated
"You should be hitting ""childhood traumas"" in another foot or so.",1.564102564102564,0.0359641296166556,429,253,110,66,not_evaluated,not_evaluated
I hesitate to ask the next question.,1.5617715617715615,0.0347413858264394,429,246,125,58,not_evaluated,not_evaluated
"Your issues go much deeper than I thought.""",1.561611374407583,0.0348599805991984,422,241,125,56,not_evaluated,not_evaluated
"Instead, how about you try saying, ""I'm not ready to talk about that yet.""",1.5612745098039216,0.0342213344706331,408,226,135,47,not_evaluated,not_evaluated
"I wasn't being literal, dear. Of course you know your ass from a hole in the ground.",1.5608591885441527,0.0366455921320578,419,250,103,66,not_evaluated,not_evaluated
"First law of holes: when you’re in one, stop digging",1.5605700712589077,0.0346019313036551,421,239,128,54,not_evaluated,not_evaluated
"Sorry, time's up. Please rebury those memories for the next session.",1.5600961538461535,0.0357380799386732,416,242,115,59,not_evaluated,not_evaluated
Burying your feelings never works.,1.559670781893004,0.0473572537177603,243,143,64,36,not_evaluated,not_evaluated
Time’s up. Next week we’ll dig a little deeper.,1.5585365853658537,0.0342834370767061,410,229,133,48,not_evaluated,not_evaluated
I’m 5’9”. Why?,1.5579710144927537,0.036203800043242,414,244,109,61,not_evaluated,not_evaluated
"Doesn't matter how you get in here,you've still got to wear a mask.",1.5572519083969465,0.0370051897512696,393,231,105,57,not_evaluated,not_evaluated
"Wait, I was wrong. Sometimes the answer IS on the surface.",1.5572139303482586,0.0346178788492747,402,225,130,47,not_evaluated,not_evaluated
Why do you think I may be angry about my floor?,1.5572139303482586,0.0360229355786844,402,233,114,55,not_evaluated,not_evaluated
And what have I said about burying your emotions?,1.556930693069307,0.0355438126108352,404,232,119,53,not_evaluated,not_evaluated
"So, my fee is $200 an hour, plus mineral rights.",1.556390977443609,0.0364064786619788,399,233,110,56,not_evaluated,not_evaluated
I think you'll find your feelings buried elsewhere,1.556372549019608,0.035451736166562,408,235,119,54,not_evaluated,not_evaluated
I agree:  men don't know what it's like to lose an earring.,1.5549872122762147,0.0375112525960292,391,233,99,59,not_evaluated,not_evaluated
"Session's over, but we'll need to revisit my rates.",1.553846153846154,0.0377651006385839,390,234,96,60,not_evaluated,not_evaluated
I see. And do you have a plan B for coping with his re-election?,1.5535714285714286,0.0362919127096901,392,230,108,54,not_evaluated,not_evaluated
"I think you will find my new self-help book rather relevant to your situation - it's called ""When You Find Yourself in a Hole, Stop Digging""",1.5526992287917738,0.0365988410522078,389,227,109,53,not_evaluated,not_evaluated
"That’s very good, Norma, but now I need you to dig a little deeper.",1.5520833333333333,0.0333888720846221,384,219,123,42,not_evaluated,not_evaluated
Sometimes a hole is just a hole.,1.5509138381201044,0.0362972910415614,383,221,113,49,not_evaluated,not_evaluated
Sometimes buried memories are best left alone.,1.5502645502645502,0.0331438525913599,378,219,117,42,not_evaluated,not_evaluated
I think we've unearthed enough for today.,1.5502645502645502,0.0362773988164961,378,217,114,47,not_evaluated,not_evaluated
I can’t help until you hit rock bottom,1.5502645502645502,0.0349975061359499,378,213,123,42,not_evaluated,not_evaluated
I am moving to China if he wins again,1.5488126649076517,0.037721297324721,379,226,98,55,not_evaluated,not_evaluated
"I meant we needed to work on making you whole, not making you a hole.",1.546448087431694,0.0385676613199524,366,220,92,54,not_evaluated,not_evaluated
"When you find yourself in a hole, the first thing you need to do it stop digging.",1.546448087431694,0.0363700634373541,366,209,114,43,not_evaluated,not_evaluated
It was a metaphor.,1.5454545454545454,0.0356492697273863,363,211,109,43,not_evaluated,not_evaluated
"Get back on the couch, Linda, and we’ll discuss your dreams of escaping 2020.",1.5454545454545454,0.0384231766249977,363,217,94,52,not_evaluated,not_evaluated
If you keep at it you will  uncover both your past and my basement.,1.5454545454545454,0.0361790055838044,363,206,116,41,not_evaluated,not_evaluated
"No, I said make yourself whole.",1.5446927374301676,0.0372968225520974,358,215,94,49,not_evaluated,not_evaluated
We need to address your tendency to take all suggestions literally.,1.5423728813559323,0.0381491504882207,354,209,98,47,not_evaluated,not_evaluated
Let's move on.  You've dug up enough dirt about your mother.,1.5423728813559323,0.0366513795732053,354,202,112,40,not_evaluated,not_evaluated
Your situation is grave.,1.5421348314606742,0.037568103220078,356,208,103,45,not_evaluated,not_evaluated
I'm sorry. You'll need an appointment just like any other client.,1.5410764872521243,0.0374913492183899,353,207,100,45,not_evaluated,not_evaluated
"No, I said escape with a novel.",1.5410764872521243,0.0384451866451677,353,210,95,48,not_evaluated,not_evaluated
"Instead of trying to dig up old memories, why don't we just look for some skeletons in the closet?",1.5410764872521243,0.0373838650370434,353,205,105,43,not_evaluated,not_evaluated
"It's ok. But, as always, you could also choose to use the door""",1.5410764872521243,0.0378119686017197,353,207,101,45,not_evaluated,not_evaluated
"No, this is a therapist's office. The bank vault is 20 feet north of here.",1.5382352941176471,0.0389100750061131,340,202,93,45,not_evaluated,not_evaluated
Are you always so literal?,1.5382352941176471,0.0384615364986341,340,200,97,43,not_evaluated,not_evaluated
The next step says insert head and wait until 2021.,1.5382352941176471,0.0397919870234262,340,208,82,50,not_evaluated,not_evaluated
Are you aware of what an analogy is?,1.5382352941176471,0.0384615364986341,340,200,97,43,not_evaluated,not_evaluated
Wouldn't it be easier to just tell me why you're here?,1.5373563218390804,0.0360016782552302,348,196,117,35,not_evaluated,not_evaluated
And then the patient made a groundbreaking discovery.,1.5370919881305638,0.0358817687137097,337,187,119,31,not_evaluated,not_evaluated
...and just how long have you kept these feelings buried?,1.5370919881305638,0.0382639496253537,337,197,99,41,not_evaluated,not_evaluated
"Let me rephrase ""Let's dig into your issues with taking things too literally.""",1.535928143712575,0.037817885033876,334,193,103,38,not_evaluated,not_evaluated
"In psychotherapy, ""dig deeper"" is more of a metaphor, Wanda.",1.5345345345345345,0.0388486256822529,333,197,94,42,not_evaluated,not_evaluated
I meant metaphorically.,1.5335365853658536,0.0380923171855079,328,190,101,37,not_evaluated,not_evaluated
"China is an admirable goal, but let's talk about local opportunities",1.5335365853658536,0.0388196542352335,328,193,95,40,not_evaluated,not_evaluated
We’re almost at the root of the problem.,1.5335365853658536,0.0363386268361544,328,183,115,30,not_evaluated,not_evaluated
‘Wow. That is groundbreaking’,1.5335365853658536,0.037846765424548,328,189,103,36,not_evaluated,not_evaluated
"I warned you that if you kept burying your emotions, one day you’d have to dig them all up.",1.5333333333333334,0.0371863578831329,330,188,108,34,not_evaluated,not_evaluated
It's a groundbreaking treatment.,1.5323076923076924,0.0393333296188574,325,193,91,41,not_evaluated,not_evaluated
Maybe we should just go back to Zoom appointments.,1.531055900621118,0.0386230765536621,322,188,97,37,not_evaluated,not_evaluated
Next time let’s aim for a Zoom call.,1.531055900621118,0.0408152824270249,322,197,79,46,not_evaluated,not_evaluated
Okay. Lets go deeper,1.531055900621118,0.036031199460333,322,178,117,27,not_evaluated,not_evaluated
Are you sure the keys aren’t in your purse?,1.5307443365695792,0.041632452914227,309,189,76,44,not_evaluated,not_evaluated
Note to self: avoid using metaphors during hypnosis.,1.5299684542586751,0.0392047106962834,317,189,89,39,not_evaluated,not_evaluated
"That's all for today. 
Let's see what we can dig up next week.",1.5299684542586751,0.0380416071555929,317,182,102,33,not_evaluated,not_evaluated
Excellent! Next week we’ll be painting you into the corner.”,1.5299684542586751,0.0390771865830446,317,186,94,37,not_evaluated,not_evaluated
That is just about the right amount of dirt to bring up in this session.,1.5286624203821657,0.0372321892344318,314,177,108,29,not_evaluated,not_evaluated
So the sessions are helping you unearth some issues?,1.5286624203821657,0.0398714431333973,314,187,88,39,not_evaluated,not_evaluated
"As your therapist, I’m trying to tell you that, as soon as you stop digging the hole, it will stop getting deeper.",1.5271565495207668,0.0381350234939819,313,180,101,32,not_evaluated,not_evaluated
"That's not what I meant by ""digging deeper"".",1.526143790849673,0.0384933837740587,306,176,99,31,not_evaluated,not_evaluated
"When I suggested that you bury your problems, I didn’t mean your mother-in-law.",1.525974025974026,0.040460384099797,308,185,84,39,not_evaluated,not_evaluated
Let me clarify. Dig deeper was a metaphor.,1.5258064516129033,0.0389460196405341,310,181,95,34,not_evaluated,not_evaluated
Can't see your shadow.  2 more months of 2020.,1.5256410256410255,0.040581110499092,312,189,82,41,not_evaluated,not_evaluated
Or we could just fix the toilet.,1.5254777070063694,0.0394937771468366,314,194,78,42,not_evaluated,not_evaluated
Next time you bury your past maybe you could try remember where.,1.52317880794702,0.0402596778108985,302,180,86,36,not_evaluated,not_evaluated
Or you can just use the restroom down the hall.,1.5230263157894737,0.0421745341409431,304,189,71,44,not_evaluated,not_evaluated
Loves to dig up dirt. Noted.,1.5230263157894737,0.0381182484673988,304,179,93,32,not_evaluated,not_evaluated
You understand digging deeper is just a metaphor?,1.5218855218855218,0.0350674609709971,297,174,97,26,not_evaluated,not_evaluated
I know a good Freudian archeologist that I’d like you to see.,1.5214521452145215,0.0427982394459806,303,191,66,46,not_evaluated,not_evaluated
I really feel we’ve had a breakthrough session today,1.520408163265306,0.0407974579683644,294,176,83,35,not_evaluated,not_evaluated
You have to trust me. China's no better.,1.5202702702702702,0.0403089276342943,296,176,86,34,not_evaluated,not_evaluated
Let's explore what we mean by 'holistic'.,1.5172413793103448,0.0437494838605855,290,184,62,44,not_evaluated,not_evaluated
You finally presented a disorder outside the DSM.,1.5172413793103448,0.0423638977690888,290,179,72,39,not_evaluated,not_evaluated
We've really unearthed a lot today.,1.5157894736842106,0.0388522871216599,285,171,84,30,not_evaluated,not_evaluated
Do you find that you struggle with metaphor?,1.5157894736842106,0.0408670162134275,285,170,83,32,not_evaluated,not_evaluated
You do know that when I said we would be digging into your past it was a metaphor.,1.5157894736842106,0.0408670162134275,285,170,83,32,not_evaluated,not_evaluated
"I should have been more clear with the ""let's dig deeper"" stuff.",1.5157894736842106,0.0408670162134275,285,170,83,32,not_evaluated,not_evaluated
All I said was 'let's talk about your mother',1.5157894736842106,0.0420589070245423,285,174,75,36,not_evaluated,not_evaluated
"If you leave now, you still have to pay for the entire hour.",1.5142857142857142,0.0423247353205504,280,171,74,35,not_evaluated,not_evaluated
They said taking you on as a patient would be a grave mistake.,1.5142857142857142,0.0404694130044588,280,165,86,29,not_evaluated,not_evaluated
Perhaps we shouldn't dig up your past after all.,1.5142857142857142,0.0398317726434028,280,163,90,27,not_evaluated,not_evaluated
"It's a metaphor, Gwen.",1.5142857142857142,0.0414074667715866,280,168,80,32,not_evaluated,not_evaluated
My advice? Stop digging,1.5142857142857142,0.0396707611807903,280,165,87,28,not_evaluated,not_evaluated
"Gwen, the stain is out. Now let's talk about your OCD.",1.5141843971631206,0.0432815226722978,282,176,67,39,not_evaluated,not_evaluated
So how long have you been a Republican?,1.5140845070422535,0.0418765010764474,284,173,76,35,not_evaluated,not_evaluated
"By my calculations, you'll reach rock bottom before the year's out.",1.5140845070422535,0.0397423115329502,284,166,90,28,not_evaluated,not_evaluated
I'm writing you a prescription for Adderall and you'll get a bill for the floor separately.,1.5125448028673836,0.0424407621554256,279,171,73,35,not_evaluated,not_evaluated
You may be suffering from a miner ailment,1.510948905109489,0.0420821089864767,274,166,76,32,not_evaluated,not_evaluated
"As I recall, this is not the first time you've dug yourself into a hole.",1.5107142857142857,0.0411010545657468,280,168,81,31,not_evaluated,not_evaluated
Time’s up. You can hit rock bottom next week.,1.5093632958801495,0.0412292107422235,267,158,82,27,not_evaluated,not_evaluated
The first thing we need to work on is you overcoming your fear of being seen in my waiting room.,1.5092936802973975,0.0426645997443191,269,164,73,32,not_evaluated,not_evaluated
"Yes, there are some indications that you might be in a depression.",1.5092250922509225,0.0424297789947447,271,165,74,32,not_evaluated,not_evaluated
Stop! Pennsylvania hasn't reported their results yet.,1.5092250922509225,0.0446275855523092,271,172,60,39,not_evaluated,not_evaluated
One issue you have-taking things to literally.,1.5092250922509225,0.0427506696112737,271,166,72,33,not_evaluated,not_evaluated
"Excuse me, but did you have an appointment?",1.5092250922509225,0.0430691694705352,271,167,70,34,not_evaluated,not_evaluated
"When you get to the ground floor, please pick me up a latte.",1.5092250922509225,0.0433853312255545,271,168,68,35,not_evaluated,not_evaluated
It looks like I need to refer you to an Archeologist.,1.5092250922509225,0.0430691694705352,271,167,70,34,not_evaluated,not_evaluated
When you get to your mother you can stop digging...,1.5092250922509225,0.044320286388507,271,171,62,38,not_evaluated,not_evaluated
Why do you insist on not using the door?,1.5075187969924813,0.0433530381709902,266,164,69,33,not_evaluated,not_evaluated
It looks like you've finally hit rock bottom.,1.5075187969924813,0.0413430647825972,266,158,81,27,not_evaluated,not_evaluated
"Or, you could just plant yourself on the couch.",1.507462686567164,0.0437535804060863,268,167,66,35,not_evaluated,not_evaluated
It's not carpal but definitely some kind of tunnel syndrome,1.5074074074074073,0.0425481213399996,270,165,73,32,not_evaluated,not_evaluated
"Marie, when I said that we would have to dig deeper into the reason that you are such a literalist...oh, never mind.",1.5074074074074073,0.0412334246397277,270,168,70,32,not_evaluated,not_evaluated
"Better stop talking now Karen, You’re only digging yourself into a bigger hole",1.5074074074074073,0.0415659973780362,270,162,79,29,not_evaluated,not_evaluated
What brings you in today?,1.5073529411764706,0.041341937838679,272,163,80,29,not_evaluated,not_evaluated
I see that we're finally breaking new ground.,1.503875968992248,0.0419159509426789,258,154,78,26,not_evaluated,not_evaluated
"Now envision that instead of digging this hole, you’re emerging from it.",1.5038461538461538,0.0430835785515795,260,159,71,30,not_evaluated,not_evaluated
"When I said I wanted to dig into your past,
I meant that figuratively.",1.5019607843137257,0.041907029961882,255,152,78,25,not_evaluated,not_evaluated
